name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.ai_prompt_versions\` has a foreign key \`ai_prompt_versions_prompt_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""ai_prompt_versions"",""type"":""table"",""schema"":""public"",""fkey_name"":""ai_prompt_versions_prompt_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_ai_prompt_versions_ai_prompt_versions_prompt_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.credit_history\` has a foreign key \`credit_history_workflow_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""credit_history"",""type"":""table"",""schema"":""public"",""fkey_name"":""credit_history_workflow_id_fkey"",""fkey_columns"":[8]}",unindexed_foreign_keys_public_credit_history_credit_history_workflow_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.payment_history\` has a foreign key \`payment_history_subscription_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""payment_history"",""type"":""table"",""schema"":""public"",""fkey_name"":""payment_history_subscription_id_fkey"",""fkey_columns"":[5]}",unindexed_foreign_keys_public_payment_history_payment_history_subscription_id_fkey
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_ai_memories_score\` on table \`public.ai_memories\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""ai_memories"",""type"":""table"",""schema"":""public""}",unused_index_public_ai_memories_idx_ai_memories_score
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_ai_memories_active\` on table \`public.ai_memories\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""ai_memories"",""type"":""table"",""schema"":""public""}",unused_index_public_ai_memories_idx_ai_memories_active
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_ai_memories_created_at\` on table \`public.ai_memories\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""ai_memories"",""type"":""table"",""schema"":""public""}",unused_index_public_ai_memories_idx_ai_memories_created_at
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_conversation_messages_created_at\` on table \`public.conversation_messages\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""conversation_messages"",""type"":""table"",""schema"":""public""}",unused_index_public_conversation_messages_idx_conversation_messages_created_at
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_users_email\` on table \`public.users\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""users"",""type"":""table"",""schema"":""public""}",unused_index_public_users_idx_users_email
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_users_stripe_customer_id\` on table \`public.users\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""users"",""type"":""table"",""schema"":""public""}",unused_index_public_users_idx_users_stripe_customer_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_workflows_created_at\` on table \`public.workflows\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""workflows"",""type"":""table"",""schema"":""public""}",unused_index_public_workflows_idx_workflows_created_at
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_workflows_status\` on table \`public.workflows\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""workflows"",""type"":""table"",""schema"":""public""}",unused_index_public_workflows_idx_workflows_status
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_credit_history_created_at\` on table \`public.credit_history\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""credit_history"",""type"":""table"",""schema"":""public""}",unused_index_public_credit_history_idx_credit_history_created_at
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_subscriptions_stripe_subscription_id\` on table \`public.subscriptions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""subscriptions"",""type"":""table"",""schema"":""public""}",unused_index_public_subscriptions_idx_subscriptions_stripe_subscription_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_payments_stripe_payment_intent_id\` on table \`public.payments\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""payments"",""type"":""table"",""schema"":""public""}",unused_index_public_payments_idx_payments_stripe_payment_intent_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`code_examples_embedding_idx\` on table \`public.code_examples\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""code_examples"",""type"":""table"",""schema"":""public""}",unused_index_public_code_examples_code_examples_embedding_idx
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_code_examples_metadata\` on table \`public.code_examples\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""code_examples"",""type"":""table"",""schema"":""public""}",unused_index_public_code_examples_idx_code_examples_metadata
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_code_examples_source_id\` on table \`public.code_examples\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""code_examples"",""type"":""table"",""schema"":""public""}",unused_index_public_code_examples_idx_code_examples_source_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_ai_prompts_active\` on table \`public.ai_prompts\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""ai_prompts"",""type"":""table"",""schema"":""public""}",unused_index_public_ai_prompts_idx_ai_prompts_active
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_ai_tools_name\` on table \`public.ai_tools\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""ai_tools"",""type"":""table"",""schema"":""public""}",unused_index_public_ai_tools_idx_ai_tools_name
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_ai_tools_active\` on table \`public.ai_tools\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""ai_tools"",""type"":""table"",""schema"":""public""}",unused_index_public_ai_tools_idx_ai_tools_active
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_conversations_user_id\` on table \`public.conversations\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""conversations"",""type"":""table"",""schema"":""public""}",unused_index_public_conversations_idx_conversations_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_conversations_created_at\` on table \`public.conversations\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""conversations"",""type"":""table"",""schema"":""public""}",unused_index_public_conversations_idx_conversations_created_at
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_conversation_messages_user_id\` on table \`public.conversation_messages\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""conversation_messages"",""type"":""table"",""schema"":""public""}",unused_index_public_conversation_messages_idx_conversation_messages_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`n8n_documentation_subcategory_idx\` on table \`public.n8n_documentation\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""n8n_documentation"",""type"":""table"",""schema"":""public""}",unused_index_public_n8n_documentation_n8n_documentation_subcategory_idx
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`n8n_documentation_snippet_type_idx\` on table \`public.n8n_documentation\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""n8n_documentation"",""type"":""table"",""schema"":""public""}",unused_index_public_n8n_documentation_n8n_documentation_snippet_type_idx
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`n8n_documentation_content_fts_idx\` on table \`public.n8n_documentation\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""n8n_documentation"",""type"":""table"",""schema"":""public""}",unused_index_public_n8n_documentation_n8n_documentation_content_fts_idx
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`n8n_documentation_embedding_idx\` on table \`public.n8n_documentation\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""n8n_documentation"",""type"":""table"",""schema"":""public""}",unused_index_public_n8n_documentation_n8n_documentation_embedding_idx
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`documentation_usage_analytics_user_id_idx\` on table \`public.documentation_usage_analytics\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""documentation_usage_analytics"",""type"":""table"",""schema"":""public""}",unused_index_public_documentation_usage_analytics_documentation_usage_analytics_user_id_idx
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`documentation_usage_analytics_created_at_idx\` on table \`public.documentation_usage_analytics\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""documentation_usage_analytics"",""type"":""table"",""schema"":""public""}",unused_index_public_documentation_usage_analytics_documentation_usage_analytics_created_at_idx
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`workflow_generations_doc_ids_idx\` on table \`public.workflow_generations\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""workflow_generations"",""type"":""table"",""schema"":""public""}",unused_index_public_workflow_generations_workflow_generations_doc_ids_idx
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`n8n_documentation_keywords_idx\` on table \`public.n8n_documentation\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""n8n_documentation"",""type"":""table"",""schema"":""public""}",unused_index_public_n8n_documentation_n8n_documentation_keywords_idx
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`n8n_documentation_content_search_idx\` on table \`public.n8n_documentation\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""n8n_documentation"",""type"":""table"",""schema"":""public""}",unused_index_public_n8n_documentation_n8n_documentation_content_search_idx
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_stripe_customers_stripe_id\` on table \`public.stripe_customers\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""stripe_customers"",""type"":""table"",""schema"":""public""}",unused_index_public_stripe_customers_idx_stripe_customers_stripe_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_subscriptions_stripe_id\` on table \`public.subscriptions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""subscriptions"",""type"":""table"",""schema"":""public""}",unused_index_public_subscriptions_idx_subscriptions_stripe_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_payment_history_status\` on table \`public.payment_history\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""payment_history"",""type"":""table"",""schema"":""public""}",unused_index_public_payment_history_idx_payment_history_status